ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,activity_label,ax_mean,ax_std,ax_min,ax_max,ax_var,ax_rms,ax_eng,ax_iqr,ax_med,ax_skew,ax_kurt,ay_mean,ay_std,ay_min,ay_max,ay_var,ay_rms,ay_eng,ay_iqr,ay_med,ay_skew,ay_kurt,az_mean,az_std,az_min,az_max,az_var,az_rms,az_eng,az_iqr,az_med,az_skew,az_kurt,gx_mean,gx_std,gx_min,gx_max,gx_var,gx_rms,gx_eng,gx_iqr,gx_med,gx_skew,gx_kurt,gy_mean,gy_std,gy_min,gy_max,gy_var,gy_rms,gy_eng,gy_iqr,gy_med,gy_skew,gy_kurt,gz_mean,gz_std,gz_min,gz_max,gz_var,gz_rms,gz_eng,gz_iqr,gz_med,gz_skew,gz_kurt
0.973999,0.238281,0.12793,0.549316,-0.671386,0.244141,phone_interaction_1,0.9736754999999999,0.002231253358540886,0.970703,0.981445,4.978491549999984e-06,0.9736780565422022,18.960979155836,0.0016785000000000272,0.9731445000000001,1.9358284021652024,4.791162580340876,0.24058229999999997,0.0013988521401492031,0.237549,0.243652,1.956787310000006e-06,0.24058636673884912,1.157635997212,0.0015260000000000273,0.24054,0.08097045890789903,0.251454496038658,0.1311341,0.002810122931474705,0.125732,0.135986,7.89679088999999e-06,0.13116420614519803,0.3440809794740001,0.0039365000000000094,0.131165,-0.164133623584253,-0.8017196592629903,0.5920408500000001,0.2843871335639633,0.12207,1.037598,0.0808760417367275,0.6568016517986613,8.627768196109,0.50353975,0.640869,-0.16542838458037373,-1.241574604538242,-0.54931635,0.3275489456061911,-1.281738,0.305176,0.1072883117677275,0.639559820614968,8.180735282901,0.33569275000000004,-0.610352,0.4386744344429504,1.026334408207969,-0.20446775,0.34379376098220205,-0.915527,0.244141,0.11819415009028748,0.40000151359757374,3.2000242176069995,0.32043475,-0.0915525,-0.8863030793059291,-0.2625981802089328
0.974732,0.237427,0.127808,0.061035,-1.403808,-0.549316,phone_interaction_1,0.9747009999999999,0.0018953799619073613,0.971314,0.97998,3.59246519999995e-06,0.9747028428532462,19.000912637324,0.0017702500000000843,0.974732,0.990772308263198,1.2736218612039973,0.23885510000000001,0.0017766129263292,0.235474,0.241211,3.1563534900000034e-06,0.23886170716441762,1.14109830299,0.002960499999999977,0.239197,-0.4040724117829527,-1.119088616197387,0.13010879999999997,0.0018208736804072952,0.127686,0.133423,3.315580960000008e-06,0.13012154094691622,0.3386323083679999,0.002838499999999994,0.12969999999999998,0.2753138897895139,-1.00323437106102,0.47607415,0.3163246001060106,0.061035,1.037598,0.10006125263222751,0.5715836324899883,6.534156978609,0.56457475,0.3356935,0.48937397729625887,-1.1629575006056698,-0.7080077499999999,0.37396155325004665,-1.403808,-0.12207,0.1398472433091875,0.8007010786612255,12.822444347385,0.5187984999999999,-0.640869,-0.43177728972703205,-0.7428192705361893,-0.021362250000000006,0.2966804328191994,-0.549316,0.427246,0.0880192792177875,0.29744852486245416,1.7695124988570001,0.488282,-0.0305175,-0.17847950056535197,-0.9377480102803868
0.974121,0.240112,0.131714,-0.488281,-1.098633,0.732422,phone_interaction_1,0.9752930500000001,0.0022779346451336207,0.969849,0.97998,5.1889862475000344e-06,0.9752957102153941,19.024034447291,0.002166749999999995,0.974854,0.023483469408504792,0.3180288304435783,0.237793,0.0021454860754616892,0.234619,0.242798,4.6031105e-06,0.237802678621373,1.13100227919,0.003082499999999988,0.237488,0.4429870794247312,-0.5996438848685726,0.1287782,0.0031811992172764035,0.119751,0.133423,1.0120028460000003e-05,0.12881748648262006,0.33187889647400004,0.0035400000000000154,0.128967,-1.0976148417746119,1.2095670362580195,0.29907225,0.2875137068758419,-0.488281,0.854492,0.08266413164148752,0.4148594248194803,3.4421668472310003,0.32043475,0.305176,-0.6662474077087789,1.0410791553285312,-0.9490965499999999,0.3995237672216103,-1.464844,-0.12207,0.15961924057494747,1.0297589532491815,21.208070035937002,0.5798335,-0.9460445,0.4614196855249656,-0.8032640600919598,0.08544929999999999,0.37594882664547574,-0.549316,0.732422,0.14133752025611,0.3855374211754289,2.9727820625320005,0.62561075,0.152588,-0.18824621444884024,-1.1125777958133725
0.979614,0.234985,0.143066,1.403808,0.061035,0.915527,phone_interaction_1,0.9758484500000002,0.005076658482456755,0.961548,0.985596,2.5772461347500123e-05,0.975861655066306,19.046119396574998,0.004425500000000082,0.976074,-0.7073272283667362,1.4215488353326888,0.23576055,0.004864307643180065,0.223022,0.242798,2.36614888475e-05,0.23581072584840154,1.1121339685029998,0.004242499999999982,0.235962,-1.0001399505160256,0.8447444188983044,0.12742320000000001,0.006142503940576677,0.119751,0.143066,3.773035466000001e-05,0.12757116544462546,0.325488045058,0.008819749999999987,0.127991,0.8445631096943796,0.22467277830026466,0.5004883,0.8119281615252115,-0.854492,2.075196,0.6592273394777101,0.9537902693541175,18.194317558292,0.9765625,0.39672850000000004,0.4490661986879333,-0.6454791484242719,-0.10986315000000002,1.2912360966424876,-1.464844,2.502442,1.6672906572725275,1.2959014503427528,33.587211380009,1.69372525,-0.7019040000000001,0.8570140741531604,-0.829351681031377,0.19531260000000003,0.40467739424304394,-0.366211,1.037598,0.16376379341134,0.44934486213831354,4.038216102602,0.61035125,0.0915525,0.5431728698299064,-0.8037592244752236
0.979248,0.231934,0.136353,0.976562,-8.056642,0.854492,phone_interaction_1,0.97678835,0.006232057118440125,0.961548,0.98645,3.883853592750024e-05,0.9768082305302561,19.083086384633,0.0057672500000001126,0.978394,-0.6618755997267247,-0.02763380657052128,0.23195815,0.007572062508161169,0.213745,0.243164,5.73361306275e-05,0.23208170863308034,1.0772383896409998,0.008515000000000023,0.231995,-0.5456689774192219,-0.20225251519636434,0.1290039,0.013023505944637184,0.093994,0.150391,0.00016961170709000006,0.12965962333085806,0.3362323584459999,0.015594750000000004,0.13067600000000001,-0.7873864323823341,0.6714007538277169,0.6530761500000001,1.1705548936877874,-2.563476,2.075196,1.3701987591364275,1.3404130769413025,35.934144336705,1.5258782499999999,1.0375975,-1.1170037836156517,0.6533946949326448,-1.09558105,3.2851703596497317,-9.58252,2.563476,10.792344291921149,3.463039435097477,239.852842580805,3.32641525,-0.6103510000000001,-1.1831178073069388,0.6532681164490084,0.7537841000000001,1.1322431381015696,-0.793457,3.112792,1.28197452377809,1.3602077022245167,37.00329986381799,1.5869132499999998,0.3967285,0.675142442055206,-0.7366017149127155
0.95105,0.242554,0.100708,-0.793457,0.732422,-2.685546,phone_interaction_1,0.97791135,0.010510053435996418,0.95105,1.001221,0.0001104612232275001,0.9779678265066035,19.128421393641002,0.011413000000000117,0.9782105000000001,-0.19683042047626456,0.8422977601970487,0.22901010000000005,0.014731185963458614,0.202148,0.259155,0.0002170078398900001,0.22948340624520108,1.053252674838,0.015594499999999983,0.22937,0.1209067235374203,-0.3731002943472368,0.1249695,0.02018167208261,0.084229,0.158936,0.0004072998880499999,0.126588608564515,0.320493516366,0.027893,0.12811250000000002,-0.17290724174509037,-0.8454831850655262,0.5462645500000001,1.454568156244783,-2.563476,3.540038,2.1157685211613475,1.553761075502939,48.28346959496099,2.15148875,0.915527,-0.1647979894942197,-0.38303104309567804,-1.6265869,3.479607673849035,-9.58252,6.469726,12.107669563909091,3.841022586129988,295.069090143214,3.3416740000000003,-1.342773,-0.15837553252493158,0.6890317423083037,0.10070799999999999,2.4405875140302795,-5.065916,3.601074,5.9564674136405,2.442664429450861,119.33219029809,3.8452144999999995,0.5187985,-0.4703795777286788,-0.7974761511264594
0.964234,0.20752,0.175537,1.281738,31.79931,4.272462,phone_interaction_1,0.97334615,0.01792656924588472,0.932984,1.012696,0.00032136188492749986,0.9735112169896915,18.954481792095002,0.018615249999999972,0.9737549999999999,0.0210241378981486,0.13492769521185988,0.2312439,0.019625858133849847,0.202148,0.282959,0.0003851743074900002,0.23207523692695006,1.0771783118940002,0.020233,0.227844,0.7448156962595174,0.40623629782592285,0.13262334999999997,0.028387630049503954,0.084229,0.184937,0.0008058575398274999,0.1356274695813868,0.36789621010100004,0.04418899999999999,0.1226195,0.44734584110279463,-0.9791253183909592,2.8228756500000003,3.7638388036003914,-1.159668,13.18359,14.166482539488026,4.704796432881124,442.702189497019,5.31005925,1.434326,1.1134937732994779,0.7407011559143251,8.76769965,12.172623364289155,-3.356933,32.83692,148.17275956883822,15.001510481329815,4500.906334428966,18.524170499999997,2.5634765,0.8244681576450238,-0.8028467234352821,-1.25122045,2.638773548250749,-5.065916,4.272462,6.963125838947848,2.9203901200774616,170.57356906892102,3.9062495,-1.647949,0.576226144268504,-0.6308029736267726
0.941284,0.253906,0.198486,-4.760742,-1.586914,-6.28662,phone_interaction_1,0.9711000499999999,0.020571014990697467,0.932984,1.022095,0.00042316665774749996,0.9713179056147117,18.869169475354997,0.019164499999999918,0.965942,0.6738139658266477,0.6443903812867351,0.23255620000000002,0.015922489835449735,0.20752,0.282959,0.0002535256825600001,0.23310064744869327,1.08671823682,0.01031499999999999,0.230408,1.4348525434403576,2.762099909184389,0.17756955000000002,0.04272103075708145,0.112183,0.254028,0.0018250864689474994,0.1826363368997254,0.6671206311229999,0.054961749999999976,0.17797849999999998,0.07373069257767806,-0.9603384950850433,0.32348635,5.77471517889824,-6.958006,13.18359,33.34733539739773,5.7837685652206074,669.0395763206809,9.9792485,0.030517000000000016,0.47396365241681643,-0.7835560698257424,11.70043895,12.150059583030922,-9.521484,32.83692,147.62394787120155,16.867845727711604,5690.4843898775725,18.646234749999998,9.887696,0.10810257586858077,-0.8641339089522346,-1.4984129,2.623835480278554,-6.469726,4.272462,6.88451262756859,3.0215482532064586,182.59507692910003,3.6315905,-1.00708,-0.1081870119950454,-0.2772837683323037
0.972168,0.224487,0.196045,-5.676268,-6.04248,-1.342773,phone_interaction_1,0.9680848000000001,0.017868992404721652,0.94043,1.022095,0.0003193008895600001,0.9682496996542782,18.750149617612,0.017974999999999963,0.967163,1.0052860239160182,2.027407816863449,0.23464355,0.014599682552970122,0.214355,0.266235,0.0002131507306475002,0.23509731237776837,1.1054149257449999,0.02056925000000001,0.2314455,0.5934492896108683,-0.6355015644437185,0.21087635,0.02627941905422378,0.162964,0.254028,0.0006906078658275,0.2125075124675596,0.903188857103,0.03643774999999999,0.2063595,0.19441654804085895,-0.9448458056068674,-2.6397702,3.0043848229564833,-6.958006,1.525878,9.02632816441126,3.999339304587609,319.894297464386,5.844114500000001,-2.8381345,0.026857989145172814,-1.632725773038801,0.2868658500000002,8.803187694037582,-9.521484,24.23095,77.49611357645472,8.807860443510158,1551.568111847019,14.511110500000001,-3.6926259999999997,1.1420176154361512,0.4388536518909989,-0.7354735499999999,2.340558637262469,-6.469726,2.868652,5.478214734463947,2.4533927686396955,120.38272154427099,1.5563965,-0.152588,-1.1385782834512523,0.9553523975670721
0.945923,0.242065,0.194092,3.540038,-4.638672,1.403808,phone_interaction_1,0.9606141499999999,0.014554549853138718,0.935425,0.995972,0.0002118349214275003,0.9607244038233077,18.459827602033,0.02444449999999998,0.961182,0.2868652802929451,-0.2285975637238935,0.23875115000000005,0.02051820714213355,0.200439,0.297119,0.00042099682432750034,0.2396311925660973,1.1484621690130001,0.02117925000000001,0.2391965,0.8169986966313328,1.3176371513132024,0.20825809999999997,0.017736108352454327,0.186401,0.253784,0.0003145695394900001,0.2090119751475977,0.873720115102,0.015777750000000007,0.20513900000000002,1.330635613940588,1.1246498784677934,-1.1962890000000002,2.7908751780427408,-6.469726,3.540038,7.7889842594151,3.0364603786211504,184.40183261872198,4.3334955,-0.671386,-0.39867815465719947,-0.9329883690724632,-3.4851067999999996,2.7915089065906917,-6.774902,1.586914,7.79252197557516,4.465253787074302,398.769827659628,4.821776,-4.272460499999999,0.5647065649397324,-1.1734922656858375,-0.23193360000000002,1.6557971124295814,-2.624511,2.868652,2.7416640775301397,1.6719621025427283,55.909145446782006,2.70080525,-0.3051755,0.13315497775012852,-1.1692250849917758
