ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,activity_label,ax_mean,ax_std,ax_min,ax_max,ax_var,ax_rms,ax_eng,ax_iqr,ax_med,ax_skew,ax_kurt,ay_mean,ay_std,ay_min,ay_max,ay_var,ay_rms,ay_eng,ay_iqr,ay_med,ay_skew,ay_kurt,az_mean,az_std,az_min,az_max,az_var,az_rms,az_eng,az_iqr,az_med,az_skew,az_kurt,gx_mean,gx_std,gx_min,gx_max,gx_var,gx_rms,gx_eng,gx_iqr,gx_med,gx_skew,gx_kurt,gy_mean,gy_std,gy_min,gy_max,gy_var,gy_rms,gy_eng,gy_iqr,gy_med,gy_skew,gy_kurt,gz_mean,gz_std,gz_min,gz_max,gz_var,gz_rms,gz_eng,gz_iqr,gz_med,gz_skew,gz_kurt
-0.923096,-0.335693,-0.231201,9.643555,-66.101074,-4.577637,eating_spoon,-0.8861634,0.014533674395692232,-0.923096,-0.848511,0.00021122769143999998,0.8862825729929479,15.70993598382,0.019409250000000045,-0.8860475,-0.009732354232823601,1.5721660709910568,-0.32730709999999996,0.004961032048878538,-0.335938,-0.317383,2.4611838989999984e-05,0.3273446953127544,2.143090990988,0.006134499999999987,-0.328613,0.1664361870918154,-0.5702994216383561,-0.3105164,0.025112513475158155,-0.334473,-0.231201,0.00063063833304,0.311530212021242,1.94102146004,0.02426174999999997,-0.3170775,1.847107909229548,2.9966797792309734,2.3468019,2.558419911661608,0.12207,9.643555,6.54551244438659,3.4717418686057577,241.05983204460395,1.3275147500000002,1.617432,1.9239133619747057,2.635223101385278,-16.9464142,19.412419235791223,-66.101074,0.061035,376.84202058611703,25.76864324763876,13280.459496481573,16.7236335,-7.354737999999999,-1.4770494841447912,0.9817449925814201,-2.94189485,1.3677323891300257,-5.249023,-0.427246,1.8706918882753278,3.2442930195547763,210.50874393463698,2.15148975,-2.5634765,-0.16908498972617234,-1.0479826444513811
-0.938354,-0.359009,-0.134277,-13.671879,30.151375,-15.869144,eating_spoon,-0.9269225999999999,0.04655283236431485,-1.005737,-0.848511,0.0021671662011400004,0.9280908751797423,17.227053451838,0.0747985000000001,-0.930725,-0.12279231691143819,-1.2331532303280734,-0.3471435,0.018537791417803793,-0.382446,-0.322388,0.00034364971065,0.3476381154345708,2.4170451860579996,0.02923600000000004,-0.341553,-0.4393162069225535,-1.1397633266758602,-0.2019714,0.09924003797631276,-0.322266,-0.052246,0.009848585137539998,0.2250356228589154,1.01282063111,0.19982900000000003,-0.203552,0.07043689173045273,-1.6917208464390732,0.71716295,6.6164448624847045,-13.671879,9.643555,43.777342618300246,6.6551983678289375,885.8333063030591,5.4016115,1.7700195,-0.8672440387158833,0.0025886354555559876,-22.955326099999997,26.576620684056955,-66.101074,30.151375,706.3167669842439,35.117855335165125,24665.27526683171,35.91919275,-22.705081999999997,0.1846749560104101,-0.6981045822799623,-7.2784438499999995,4.267571102250275,-15.869144,-2.441406,18.21216311276163,8.437292693178566,1423.7581598072888,6.4849855,-5.187988000000001,-0.7831421116712463,-0.9239356212649357
-0.833008,-0.453003,-0.288574,1.220703,26.30616,-21.118164,eating_spoon,-0.91948235,0.06040037037243647,-1.005737,-0.8125,0.0036482047411275018,0.9214640506838288,16.981919934052996,0.07806425000000006,-0.93988,0.4529645664771127,-1.0182530717394338,-0.38192745000000006,0.025219668416684226,-0.453003,-0.347168,0.0006360316750474999,0.382759204642488,2.930092174771,0.02999875000000002,-0.3798825,-1.1049048899309144,1.0694702970190306,-0.1799011,0.08173609533302897,-0.297241,-0.052246,0.006680789280290001,0.1975985704945762,0.78090390123,0.16241449999999996,-0.1800535,-0.0898541628727892,-1.4092269849689332,-3.8848884999999997,6.827439671513388,-13.671879,9.094238,46.61393246815484,7.8553352013511875,1234.1258225117422,11.18469225,-3.997803,0.16726595118604182,-1.0687391850552546,13.39722055,37.04386546220916,-60.30275,57.434097,1372.2479683822526,39.39204852311688,31034.66973695189,57.15943025000001,28.2287675,-0.6658375095278013,-0.9308610215383561,-14.0747085,4.724231059807294,-21.118164,-3.54004,22.31835910644795,14.846406247520651,4408.315569328404,4.837033499999999,-15.930179500000001,0.6792729416025558,-0.4342690217222476
-0.61853,-0.506836,-0.477051,-6.347658,39.18457,-27.526863,eating_spoon,-0.8293700500000002,0.07714011778346917,-0.941406,-0.61853,0.005950597771647498,0.8329497449478269,13.876105552173,0.05740325000000002,-0.839966,1.2674572571179004,1.501905542150591,-0.4400269,0.044370388050928744,-0.506836,-0.37793,0.00196873133579,0.4422583001588551,3.911848081188,0.08917249999999999,-0.454407,0.10568022583621645,-1.5838568534211008,-0.30559695000000003,0.0746176326771863,-0.477051,-0.184204,0.0055677911063475,0.3145747716452322,1.9791457391129996,0.05169625,-0.30017099999999997,-0.5956799486069903,0.32386546530436267,-4.6051034,5.242649879813189,-12.939457,2.929688,27.48537776230524,6.977990762891335,973.847101739936,10.84899875,-4.5776365000000006,-0.08069332198680626,-1.4074596298192337,47.30225564999999,20.042597338011586,25.085457,94.726593,401.7057080536691,51.37323327990585,52784.18195263251,26.260383500000003,44.06738300000001,0.9657191463102222,0.04195763482039494,-20.550540449999996,3.5969419856451323,-27.587898,-15.991215,12.937991648096746,20.862950520843953,8705.25408870366,5.661018499999997,-20.477294999999998,-0.3740352333291709,-0.8618046389766181
-0.617676,-0.55188,-0.375366,-25.146492,-18.737793,9.521484,eating_spoon,-0.7137023499999999,0.10061649697404247,-0.863281,-0.560791,0.010123679463327498,0.720759823976649,10.389894477177,0.1914982500000001,-0.6708375,-0.1902684327986367,-1.49363390430774,-0.51214615,0.03642940185382543,-0.572632,-0.455811,0.0013271013194274997,0.5134401428396985,5.272415605585,0.058289000000000035,-0.5117799999999999,-0.12569104757997307,-1.286689043848466,-0.4068298,0.06973374031958991,-0.512451,-0.303101,0.00486279453896,0.412762983692821,3.40746561414,0.138092,-0.41937250000000004,0.11024991076696329,-1.5326222219966559,-6.32629505,7.01666281242082,-25.146492,2.929688,49.233557023209244,9.447516397596976,1785.1113216572749,6.591795749999999,-4.4555665,-1.0282591808182613,0.7500488432481891,24.505619849999995,35.917547304365634,-28.381355,94.726593,1290.0702043613433,43.480979848596526,37811.91217188115,48.49243175,25.29908,0.3053955987447164,-0.7134751793175753,-17.437748250000006,10.251130923787452,-27.587898,9.521484,105.08568521663139,20.227722295083286,8183.214984940189,8.331305750000002,-21.942142500000003,1.389502908135943,0.7742815858454914
-0.740234,-0.485596,-0.439575,2.319336,-0.488281,-2.807618,eating_spoon,-0.6902954,0.09227995567911809,-0.851563,-0.560791,0.008515590220139998,0.6964361632492242,9.700466589626,0.15460149999999995,-0.6708375,-0.276671145539488,-1.1853981127836135,-0.4972169,0.05303195995520059,-0.572632,-0.415405,0.002812388776689999,0.5000370330508531,5.000740688445999,0.0917365,-0.5144044999999999,0.16237464566943333,-1.4787422815073317,-0.5012633,0.0755719708927192,-0.658813,-0.375366,0.005711122784609999,0.5069280212332911,5.13952037423,0.07492074999999998,-0.48730450000000003,-0.597844052945696,-0.4522231685030116,-11.993410749999999,11.16303909496421,-29.235847,3.784181,124.61344183569938,16.38460689958459,5369.106865078299,18.539430249999995,-6.5917984999999994,-0.3765371085020356,-1.346695142058918,-4.364014,15.20747868753901,-28.381355,26.062019,231.2674080319532,15.821252359536816,5006.240524482985,12.664797499999999,-4.9133305,0.6044702721512089,-0.4829794530456639,-0.9033209999999998,14.755364183102607,-25.329597,20.507813,217.72077217598726,14.78298890634192,4370.735220100566,24.902347499999998,-1.0375975,-0.17221242181435473,-1.1947897207459512
-0.736328,-0.431763,-0.601318,3.479005,-2.929688,-3.41797,eating_spoon,-0.7243042,0.0744046121336574,-0.851563,-0.568726,0.005536046306759999,0.7281158015346185,10.603052408888,0.08801225000000001,-0.7318724999999999,0.30630402872888246,-0.21780441984348187,-0.4523925999999999,0.023781000002943527,-0.512085,-0.415405,0.0005655359611400001,0.4530172187631504,4.104492009918,0.02661150000000001,-0.455017,-0.6830354477654628,0.06445499934984866,-0.54614245,0.06438160891393986,-0.658813,-0.432007,0.0041449915663475,0.549924146822405,6.048331345167001,0.10565150000000001,-0.546326,0.13449056478717347,-0.9335328289278388,-8.944703950000001,11.377248575062204,-29.235847,3.784181,129.44178513875494,14.472370707382415,4188.990277838012,14.877322,-4.9438475,-0.8413794098138666,-0.796084680767597,0.08544929999999973,13.057679607239457,-14.892582,41.931152,170.5029967253172,13.057959193847548,3410.2059661637536,10.8795175,-2.6550295,1.739751221413548,2.9987729129610576,3.3996582999999996,9.191358340749321,-6.530764,20.507813,84.48106814806212,9.799935954118324,1920.77489409642,14.93835625,0.4272465,0.7285106471937097,-0.9547728283380796
-0.739014,-0.508545,-0.38208,9.643555,-25.085457,0.610352,eating_spoon,-0.7139770499999999,0.03712032817537447,-0.7771,-0.65332,0.0013779187638475001,0.7149413589173241,10.222822933811003,0.06011975000000003,-0.7232055,0.16020596477116775,-1.2224308420545698,-0.4645019500000001,0.027811931257061245,-0.510742,-0.429932,0.0007735035202475004,0.4653338211156051,4.330711301480999,0.05017100000000002,-0.456787,-0.4746899455840377,-1.2325187341051695,-0.5105956999999999,0.07080819743793794,-0.615112,-0.378784,0.005013800824410001,0.5154820750354953,5.314435393658,0.09274300000000013,-0.5346679999999999,0.5507285384821249,-0.8526709919379716,5.175782000000001,9.033443147888152,-7.751467,19.53125,81.6030951061274,10.41113895871395,2167.836288353028,16.830447500000002,4.943849,0.10504077030241729,-1.4847808104198643,-12.40845015,22.977362228484687,-48.645035,41.931152,527.9591749789947,26.113766677827805,13638.576202080596,31.2957845,-15.197758,0.42782911477679003,-0.28365254433701903,-3.36303745,2.7155436133056763,-6.530764,2.075195,7.374177115765248,4.322522181072961,373.683960117355,3.6926272500000006,-4.150391,0.7036533443998543,-0.912897781108474
-0.662231,-0.449707,-0.474487,11.901859,-11.718754,-3.601075,eating_spoon,-0.7386414,0.04590376550502149,-0.851929,-0.658203,0.0021071556875400005,0.7400663980221639,10.953965469629999,0.03625475,-0.7415775,-0.07813192317549943,0.35565191475464975,-0.4797363,0.028446922689633766,-0.519653,-0.429932,0.0008092274105100005,0.48057896848301634,4.619122898964,0.05361875000000005,-0.48486300000000004,0.32404838059131374,-1.209139380962272,-0.45455325,0.0608749775538973,-0.559937,-0.363281,0.0037057628921875,0.4586114041078242,4.206488399555,0.08697500000000002,-0.446533,-0.23161537294727344,-1.0074396519214865,8.322144799999998,6.4975727430139365,-1.525879,19.53125,42.218451550757656,10.558245385618044,2229.530912458494,9.201052500000001,8.0566415,0.07947769848245058,-1.1372638180490988,-17.34009155,16.615269882573855,-48.645035,6.042482,276.06719327076587,24.015535976387188,11534.919364662946,25.192268249999998,-16.1132835,-0.3240995896394564,-0.9643990256453985,-0.8209227499999999,3.998454432333597,-6.408693,6.652834,15.98763784744819,4.0818564414878376,333.231040178315,6.362916,-1.9226074999999998,0.403761778538593,-1.1586161320821327
-0.674927,-0.517334,-0.459839,-9.765625,61.950699,-6.95801,eating_spoon,-0.7735596500000002,0.06610422017940686,-0.9104,-0.662231,0.0043697679255275,0.7763789667640734,12.055286000673002,0.04968249999999996,-0.7625120000000001,-0.5571129197953373,-0.22850232112029278,-0.5028075499999999,0.029242391700192716,-0.553833,-0.449707,0.0008551174723474998,0.5036571748812381,5.073410996187,0.04061875000000004,-0.50531,0.14008526203587737,-0.970476792253061,-0.4031249499999999,0.046986162772113024,-0.480713,-0.321655,0.0022076994920474996,0.40585394516322,3.2943484960909997,0.08316050000000003,-0.3898315,-0.12743288652642845,-1.3046708297471843,3.6041264999999996,6.520900209592502,-9.765625,16.113281,42.52213954346354,7.45062865612465,1110.237347429316,7.76672475,3.021241,-0.03650899679658991,-0.44950605561281076,9.240723800000001,27.121177462696664,-28.869637,61.950699,735.5582669630854,28.65221183976853,16418.984866219438,45.974734,0.3356935,0.6418860706113425,-0.8552648974493056,-1.08947785,4.374492323106057,-7.934572,6.652834,19.136183084913824,4.5081199041900435,406.462901411089,6.4544690000000005,-1.098633,0.14355510513668532,-1.09524069302898
