timestamp,ax,ay,az,gx,gy,gz,activity
1769336707.1038175,-0.426270,-0.031006,-0.549927,-43.701172,49.926773,7.751467,cycling_2
1769336707.1274886,-0.619995,0.348389,-0.594604,-22.705086,40.771484,28.564461,cycling_2
1769336707.1467323,-0.661377,0.793823,-0.544678,-21.545410,38.635254,31.433113,cycling_2
1769336707.167446,-0.488525,0.208740,-0.737305,-21.179199,23.437508,3.662110,cycling_2
1769336707.188816,-0.595703,0.054077,-0.713501,-10.986328,20.385742,23.193367,cycling_2
1769336707.2017455,-0.584717,-0.025635,-0.720825,-13.671879,14.892582,24.658211,cycling_2
1769336707.2264786,-0.618164,-0.066895,-0.783325,-14.404301,10.620117,27.343758,cycling_2
1769336707.248704,-0.862915,-0.095337,-0.836182,-11.169437,20.996094,22.521980,cycling_2
1769336707.265347,-0.782715,0.108276,-0.784180,-9.399414,21.911621,18.554688,cycling_2
1769336707.2838733,-0.530151,-0.212280,-0.679565,-16.235352,10.742188,9.216309,cycling_2
1769336707.3021262,-0.718384,0.036133,-0.792603,-10.742188,15.502934,20.507813,cycling_2
1769336707.3255575,-0.700073,0.184448,-0.834839,-8.728027,14.465336,11.352543,cycling_2
1769336707.345521,-0.481323,-0.101807,-0.761475,-9.765625,6.652834,2.990724,cycling_2
1769336707.368165,-0.497192,-0.109253,-0.741943,-2.746582,1.770020,16.113281,cycling_2
1769336707.3858454,-0.588989,0.092041,-0.779053,-1.037598,5.859377,21.545410,cycling_2
1769336707.403514,-0.618164,0.117065,-0.751709,-3.051759,-0.244141,11.047363,cycling_2
1769336707.4242895,-0.638794,-0.321289,-0.875366,-2.624512,-4.760742,5.798342,cycling_2
1769336707.4464831,-0.744995,0.102783,-0.875366,-2.624512,6.835939,15.441898,cycling_2
1769336707.4670365,-0.588745,-0.053467,-0.789307,-8.239746,-0.854492,0.610352,cycling_2
1769336707.486816,-0.621216,-0.135132,-0.789307,-6.103518,-9.460449,8.178711,cycling_2
1769336707.5818596,-0.843872,-0.105835,-0.855103,-2.868653,-10.986328,1.159668,cycling_2
1769336707.5864418,-0.784668,-0.072388,-0.754028,-7.568361,-1.953125,-4.394531,cycling_2
1769336707.5920336,-0.632935,-0.022339,-0.733398,-15.136723,6.408693,-3.173829,cycling_2
1769336707.5920336,-0.608643,-0.039185,-0.863525,-9.521484,3.479005,-2.685547,cycling_2
1769336707.5959568,-0.629395,0.145142,-0.776001,-8.544922,11.901859,-3.906251,cycling_2
1769336707.6035557,-0.438721,0.073364,-0.666870,-8.850098,9.887695,-8.911133,cycling_2
1769336707.6241462,-0.602905,0.040161,-0.828247,-2.685547,3.601075,-4.638672,cycling_2
1769336707.6475885,-0.597412,0.013428,-0.820923,-1.342773,1.647950,-5.859377,cycling_2
1769336707.668847,-0.582642,-0.005615,-0.797119,-3.051759,0.305176,-6.164553,cycling_2
1769336707.6874583,-0.611572,0.019775,-0.810669,-9.704590,0.915528,-12.084965,cycling_2
1769336707.707139,-0.605957,-0.120117,-0.783447,-9.704590,-1.525879,-11.840824,cycling_2
1769336707.72858,-0.587769,-0.008667,-0.811035,-10.437012,1.647950,-5.493164,cycling_2
1769336707.7700732,-0.664795,0.100952,-0.825439,-7.019045,4.272461,-9.338379,cycling_2
1769336707.7720883,-0.609253,0.117676,-0.749146,-2.258301,1.220703,-14.404301,cycling_2
1769336707.7865534,-0.546509,0.229980,-0.645996,1.586915,-8.483887,-12.878422,cycling_2
1769336707.8045402,-0.432251,-0.171509,-0.791382,6.408693,-10.620117,-24.841316,cycling_2
1769336707.8290403,-0.704956,0.169678,-0.861816,9.033203,-4.211426,-8.483887,cycling_2
1769336707.8466125,-0.566895,0.092773,-0.809814,8.422852,-12.695316,-19.897461,cycling_2
1769336707.8687747,-0.529297,0.054077,-0.760498,6.042482,-17.211914,-14.099125,cycling_2
1769336707.8873847,-0.613159,-0.184570,-0.810791,2.441406,-17.211914,-19.592285,cycling_2
1769336707.903283,-0.609741,-0.239868,-0.848511,-1.281738,-8.911133,-8.300781,cycling_2
1769336707.923432,-0.705688,-0.173584,-0.881958,-1.342773,-8.483887,-7.202150,cycling_2
1769336707.9447832,-0.675537,-0.024414,-0.796021,-3.479005,-7.202150,-2.563477,cycling_2
1769336707.9724839,-0.596558,-0.254028,-0.832397,-0.305176,-10.314941,-10.925293,cycling_2
1769336707.986742,-0.693604,0.006470,-0.865845,3.112794,-2.685547,6.591799,cycling_2
1769336708.008136,-0.689453,0.006958,-0.793457,-0.915528,-2.868653,-6.103518,cycling_2
1769336708.028813,-0.586914,-0.097656,-0.722412,-2.075195,-8.666992,-8.117676,cycling_2
1769336708.0473845,-0.675537,-0.032959,-0.802002,1.770020,-7.873537,-2.075195,cycling_2
1769336708.0682096,-0.732178,0.141846,-0.797485,3.356935,1.037598,-2.807618,cycling_2
1769336708.0869384,-0.390015,-0.144653,-0.630249,0.671387,-10.009766,-13.916019,cycling_2
1769336708.1033437,-0.652710,0.085205,-0.780884,16.479492,-3.845216,5.004883,cycling_2
1769336708.1265082,-0.758301,0.235229,-0.764404,15.930180,9.155273,-3.112794,cycling_2
1769336708.147623,-0.487305,0.196899,-0.689453,16.113281,-3.295899,-7.141115,cycling_2
1769336708.1662269,-0.343628,-0.198120,-0.652222,19.592285,-27.587898,-9.704590,cycling_2
1769336708.181772,-0.700562,-0.117676,-0.863037,29.968269,-17.089844,3.723145,cycling_2
1769336708.20667,-0.794067,0.160400,-0.761475,31.921394,-11.901859,5.676271,cycling_2
1769336708.2225611,-0.541016,-0.197876,-0.671997,26.184090,-28.808601,-4.150391,cycling_2
1769336708.2468326,-0.812378,-0.216553,-0.904419,34.362793,-22.766121,-1.525879,cycling_2
1769336708.2642696,-0.601440,-0.225708,-0.724976,28.198250,-17.517090,2.258301,cycling_2
1769336708.2867985,-0.627808,-0.230713,-0.786011,27.587898,-18.249512,4.699707,cycling_2
1769336708.3108382,-0.633667,-0.380005,-0.890625,22.583015,-14.587406,3.479005,cycling_2
1769336708.3254244,-0.678833,-0.684448,-0.909424,23.986824,-20.263672,-3.112794,cycling_2
1769336708.3463554,-0.792725,-0.109253,-0.713867,14.404301,-5.249023,22.888191,cycling_2
1769336708.3617935,-0.885132,-0.500366,-0.772461,8.178711,-14.221195,-12.390141,cycling_2
1769336708.3885255,-0.836304,-0.422729,-0.696289,9.521484,-2.868653,-4.943848,cycling_2
1769336708.4023342,-0.930664,-0.199951,-0.711548,10.009766,6.042482,-3.356935,cycling_2
1769336708.426603,-0.582275,-0.363281,-0.572144,-1.159668,4.760742,-9.704590,cycling_2
1769336708.4450145,-0.621460,-0.379150,-0.752319,8.361816,3.173829,-7.019045,cycling_2
1769336708.4650571,-0.628418,-0.301880,-0.799316,9.765625,6.164553,-2.624512,cycling_2
1769336708.484698,-0.605835,-0.239136,-0.755737,15.869144,8.361816,2.502441,cycling_2
1769336708.5056942,-0.617798,-0.320801,-0.769653,7.019045,0.549316,-3.051759,cycling_2
1769336708.5271926,-0.557129,-0.486450,-0.754150,4.638672,5.554201,-4.272461,cycling_2
1769336708.545593,-0.652100,-0.403198,-0.806519,0.610352,7.202150,2.075195,cycling_2
1769336708.571879,-0.745483,-0.411743,-0.724487,-8.728027,9.033203,0.610352,cycling_2
1769336708.5829463,-0.641724,-0.603760,-0.638672,-13.000492,8.850098,-2.807618,cycling_2
1769336708.6051822,-0.807495,-0.416748,-0.694214,-16.357422,17.028809,-0.488281,cycling_2
1769336708.6244016,-0.721924,-0.393188,-0.641479,-18.981934,20.080566,-1.770020,cycling_2
1769336708.6467423,-0.750122,-0.195313,-0.684814,-17.700195,24.841316,4.028320,cycling_2
1769336708.6665392,-0.862549,-0.315186,-0.743896,-19.775391,21.179199,-16.113281,cycling_2
1769336708.6817844,-0.574951,-0.289063,-0.640015,-22.583015,27.221687,-8.911133,cycling_2
1769336708.7060022,-0.681030,0.239014,-0.703125,-15.136723,32.531738,7.873537,cycling_2
1769336708.7218137,-0.743774,-0.108521,-0.769287,-26.062019,17.089844,-28.808601,cycling_2
1769336708.742197,-0.534546,-0.073120,-0.628540,-17.211914,15.686039,-6.103518,cycling_2
1769336708.766343,-0.407837,-0.200317,-0.540649,-31.250008,13.610844,-9.155273,cycling_2
1769336708.7855155,-0.727295,-0.030640,-0.811035,-19.958496,15.502934,3.967286,cycling_2
1769336708.8057172,-0.826294,0.324463,-0.753296,-13.793949,15.197758,-0.732422,cycling_2
1769336708.8262458,-0.421631,0.074097,-0.646484,-11.962894,-0.854492,-18.432617,cycling_2
1769336708.842085,-0.532593,0.087524,-0.806152,-1.220703,-4.394531,-2.746582,cycling_2
1769336708.8617158,-0.667603,0.335327,-0.756592,0.061035,-2.624512,2.014160,cycling_2
1769336708.8815703,-0.458496,-0.130981,-0.742920,2.319336,-16.784668,-11.413578,cycling_2
1769336708.9068887,-0.441040,-0.041016,-0.698853,1.403809,-11.901859,9.521484,cycling_2
1769336708.9229221,-0.729736,0.157959,-0.900269,8.178711,-12.451176,7.019045,cycling_2
1769336708.9461057,-0.579468,0.064819,-0.794434,9.399414,-15.563969,-1.403809,cycling_2
1769336708.964628,-0.477295,-0.079346,-0.729614,13.366703,-23.315437,1.770020,cycling_2
1769336708.9871352,-0.730225,-0.081665,-0.765137,12.756351,-22.521980,0.305176,cycling_2
1769336709.0065084,-0.649414,-0.228760,-0.791016,4.394531,-17.517090,9.765625,cycling_2
1769336709.0228612,-0.697632,-0.403076,-0.816772,-2.563477,-17.272949,8.361816,cycling_2
1769336709.0418527,-0.786743,-0.317871,-0.885376,-7.568361,-7.934572,18.981934,cycling_2
1769336709.0630717,-0.770630,-0.400391,-0.823120,-14.831547,-3.845216,13.305668,cycling_2
1769336709.0839648,-0.696777,-0.324951,-0.785645,-19.042969,0.671387,20.080566,cycling_2
1769336709.1031473,-0.886597,-0.270630,-0.920776,-18.676758,4.577637,16.174316,cycling_2
1769336709.12453,-0.768188,-0.310303,-0.763428,-20.385742,8.728027,15.625004,cycling_2
1769336709.1451888,-0.707397,-0.235596,-0.839966,-16.296387,8.666992,21.057129,cycling_2
1769336709.1653497,-0.760010,-0.185791,-0.817627,-12.695316,9.399414,24.292000,cycling_2
1769336709.181764,-0.791138,-0.059570,-0.786255,-9.216309,12.023930,24.414070,cycling_2
1769336709.2017622,-0.700684,0.057861,-0.687866,-9.399414,10.986328,22.399910,cycling_2
1769336709.2216327,-0.734375,0.154663,-0.715820,-3.662110,9.765625,14.221195,cycling_2
1769336709.2459023,-0.614624,0.175049,-0.715576,-0.488281,6.896975,5.798342,cycling_2
1769336709.2640338,-0.519897,0.247681,-0.745728,3.540040,-1.770020,1.220703,cycling_2
1769336709.283746,-0.377563,0.365356,-0.734985,6.591799,-5.615236,-1.892090,cycling_2
1769336709.3057172,-0.239014,0.412354,-0.528076,3.417970,-20.446777,2.990724,cycling_2
1769336709.325138,-0.310669,0.324097,-0.646240,2.563477,-15.014652,8.666992,cycling_2
1769336709.3457787,-0.502808,0.367065,-0.747314,4.333496,-9.704590,-6.408693,cycling_2
1769336709.366659,-0.658447,0.338745,-0.718018,15.991215,-27.343758,-12.878422,cycling_2
1769336709.381941,-0.635620,0.183960,-0.677734,17.639160,-33.142090,-19.592285,cycling_2
1769336709.4024284,-0.658813,-0.039185,-0.708252,13.793949,-24.169930,-16.601563,cycling_2
1769336709.42433,-0.794922,-0.042725,-0.834473,14.465336,-13.549809,-13.000492,cycling_2
1769336709.4470968,-0.779663,-0.234863,-0.837524,14.770512,-22.460945,-13.244633,cycling_2
1769336709.4661646,-0.843750,-0.315063,-0.834595,12.573246,-20.263672,-11.840824,cycling_2
1769336709.4854379,-0.927612,-0.340698,-0.839722,11.718754,-17.150879,-15.625004,cycling_2
1769336709.5046144,-0.703979,-0.616333,-0.750732,1.037598,-10.314941,-17.211914,cycling_2
1769336709.526434,-0.870605,-0.395264,-0.831909,3.967286,5.310059,0.488281,cycling_2
1769336709.5433545,-0.809326,-0.206665,-0.775635,2.868653,4.821777,-8.666992,cycling_2
1769336709.5632708,-0.765137,-0.130249,-0.678467,4.577637,-2.990724,-6.042482,cycling_2
1769336709.582939,-0.709473,-0.011108,-0.733521,5.615236,-5.920412,-8.361816,cycling_2
1769336709.6017017,-0.541138,0.034058,-0.679565,3.662110,-7.385256,-11.352543,cycling_2
1769336709.6240344,-0.472412,0.029907,-0.741089,0.427246,-2.807618,-8.178711,cycling_2
1769336709.6461215,-0.609619,-0.094238,-0.844238,-0.183106,-5.432129,-9.277344,cycling_2
1769336709.6665,-0.531982,0.095581,-0.649170,-0.915528,-7.568361,-0.610352,cycling_2
1769336709.6939373,-0.570923,0.133789,-0.672607,-3.601075,-3.784181,0.793457,cycling_2
1769336709.7029626,-0.676636,-0.081177,-0.709595,-1.525879,-7.629396,-4.516602,cycling_2
1769336709.7284508,-0.672607,-0.041504,-0.617310,2.075195,-9.643555,1.220703,cycling_2
1769336709.7549264,-0.675537,-0.134155,-0.629761,0.732422,-9.094238,3.356935,cycling_2
1769336709.7671146,-0.831665,0.025146,-0.722168,6.042482,-6.896975,3.784181,cycling_2
1769336709.8421013,-0.679810,-0.153076,-0.673096,7.080080,-17.089844,-4.150391,cycling_2
1769336709.8438628,-0.843994,-0.077881,-0.691895,7.812502,-8.972168,5.493164,cycling_2
1769336709.8438628,-0.779541,-0.043457,-0.750610,7.507326,-6.286623,-9.948730,cycling_2
1769336709.8516839,-0.671631,-0.296753,-0.666016,11.169437,-15.502934,-11.596684,cycling_2
1769336709.8617897,-0.707397,-0.302979,-0.683716,11.596684,-14.160160,-8.117676,cycling_2
1769336709.8833797,-0.782227,-0.183472,-0.687744,9.643555,-6.835939,-5.432129,cycling_2
