timestamp,ax,ay,az,gx,gy,gz,activity
1771604022.8857968,0.553711,-0.848389,-0.292480,90.759260,-92.956520,152.343800,brisk_waling_abha_new
1771604022.904602,0.435791,-0.815308,-0.251465,87.280260,-66.711440,126.281720,brisk_waling_abha_new
1771604022.9297342,0.422241,-0.833496,-0.253296,81.054660,-30.944820,101.745600,brisk_waling_abha_new
1771604022.9435241,0.466797,-0.861938,-0.302124,69.458020,5.310058,84.960920,brisk_waling_abha_new
1771604022.9651048,0.512940,-0.849610,-0.361206,55.786120,35.522460,78.002940,brisk_waling_abha_new
1771604022.9845066,0.588501,-0.807617,-0.394531,43.029780,56.762680,74.340840,brisk_waling_abha_new
1771604023.0015025,0.691040,-0.743164,-0.405274,32.348640,64.575200,68.725600,brisk_waling_abha_new
1771604023.0323968,0.807251,-0.713013,-0.419678,26.611320,52.917470,66.467300,brisk_waling_abha_new
1771604023.044395,0.838989,-0.701294,-0.429566,19.287110,33.264160,65.795900,brisk_waling_abha_new
1771604023.063984,0.871826,-0.671753,-0.437500,12.451170,10.498044,55.480940,brisk_waling_abha_new
1771604023.0839198,0.898071,-0.758667,-0.471558,-2.075196,-19.653320,40.954580,brisk_waling_abha_new
1771604023.1060977,0.895752,-0.890625,-0.480591,-12.817380,-27.221676,25.817870,brisk_waling_abha_new
1771604023.1257882,0.874024,-1.158936,-0.431519,-27.038570,-19.409180,14.038084,brisk_waling_abha_new
1771604023.144353,0.953736,-1.515259,-0.387329,-44.860830,-2.685546,5.004884,brisk_waling_abha_new
1771604023.1810703,0.989624,-1.650635,-0.337524,-65.856940,17.944340,-4.516602,brisk_waling_abha_new
1771604023.1810703,0.717652,-1.296020,-0.219605,-81.909160,54.382320,-27.404780,brisk_waling_abha_new
1771604023.2035787,0.560059,-1.010132,-0.118774,-90.148900,87.585440,-48.461900,brisk_waling_abha_new
1771604023.2232094,0.605713,-0.880005,-0.176880,-73.120140,100.830060,-85.327140,brisk_waling_abha_new
1771604023.2450469,0.718994,-1.010010,-0.232910,-53.710930,94.421360,-134.033200,brisk_waling_abha_new
1771604023.264387,0.828858,-1.190430,-0.128906,-39.978040,42.358390,-163.574200,brisk_waling_abha_new
1771604023.280281,0.800171,-1.370850,-0.030762,-31.555170,4.394532,-166.809040,brisk_waling_abha_new
1771604023.307653,0.703613,-1.336426,-0.025757,-28.625480,0.366211,-168.395960,brisk_waling_abha_new
1771604023.3248346,0.577271,-1.206788,-0.049194,-29.479976,-9.094240,-166.625920,brisk_waling_abha_new
1771604023.3439038,0.481079,-1.040772,-0.104614,-25.451652,-5.432128,-171.569800,brisk_waling_abha_new
