timestamp,ax,ay,az,gx,gy,gz,activity
1769345417.5771,-0.406982,-0.877808,-0.354614,13.854984,29.113777,1.586915,stair_up
1769345417.5771,-0.369507,-0.885376,-0.358032,20.080566,28.869637,7.080080,stair_up
1769345417.5861802,-0.375366,-0.861694,-0.362793,13.488773,16.601563,5.554201,stair_up
1769345417.6056216,-0.373169,-0.864624,-0.370728,11.047363,11.901859,3.906251,stair_up
1769345417.6265442,-0.383911,-0.874756,-0.363281,5.249023,6.042482,3.540040,stair_up
1769345417.6426082,-0.385498,-0.854492,-0.363281,1.403809,2.685547,4.760742,stair_up
1769345417.6640837,-0.371460,-0.845825,-0.366211,0.671387,-2.136230,4.333496,stair_up
1769345417.6842394,-0.393066,-0.842896,-0.362183,-0.061035,-6.713869,3.662110,stair_up
1769345417.7030337,-0.408691,-0.829712,-0.363159,0.183106,-5.126953,1.342773,stair_up
1769345417.7211664,-0.420654,-0.823242,-0.358398,2.380371,-1.159668,-0.610352,stair_up
1769345417.7417676,-0.437012,-0.825195,-0.349121,3.662110,5.187988,-2.746582,stair_up
1769345417.763101,-0.436157,-0.830200,-0.342041,5.371094,10.375977,-4.211426,stair_up
1769345417.7824962,-0.422485,-0.856445,-0.339966,5.798342,10.437012,-2.075195,stair_up
1769345417.801722,-0.421753,-0.853516,-0.329712,2.075195,5.981447,-3.662110,stair_up
1769345417.8222048,-0.419434,-0.853394,-0.312622,2.380371,-3.906251,-4.821777,stair_up
1769345417.8434386,-0.429321,-0.870361,-0.306152,1.892090,-14.038090,-2.624512,stair_up
1769345417.8641617,-0.481445,-0.865356,-0.365601,2.380371,-16.052246,2.197266,stair_up
1769345417.8841035,-0.516357,-0.850708,-0.375000,7.873537,-9.033203,8.972168,stair_up
1769345417.9032943,-0.486084,-0.845093,-0.257813,12.451176,-4.943848,16.906738,stair_up
1769345417.920822,-0.500122,-0.743774,-0.255249,8.666992,-1.159668,-15.441898,stair_up
1769345417.9466205,-0.382935,-0.767822,-0.315308,42.602539,-17.883301,9.643555,stair_up
1769345417.9633389,-0.572876,-0.877563,-0.122437,34.790039,-45.715347,52.917496,stair_up
1769345417.984947,-0.787109,-0.732056,-0.111938,30.151375,-21.545410,40.222168,stair_up
1769345418.0043697,-0.766479,-0.739014,-0.176147,40.466309,4.333496,23.925789,stair_up
1769345418.025213,-0.649414,-0.823608,-0.232422,36.682129,33.569336,21.484375,stair_up
1769345418.044782,-0.609131,-0.794556,-0.182739,28.381355,46.813980,17.272949,stair_up
1769345418.0663779,-0.526367,-0.662964,-0.248779,31.616219,44.189453,-0.854492,stair_up
1769345418.0833974,-0.497681,-0.796509,-0.247681,26.000984,43.090820,-3.173829,stair_up
1769345418.1077173,-0.429199,-0.750610,-0.242676,25.512703,30.639656,-7.629396,stair_up
1769345418.12483,-0.461182,-0.825562,-0.266113,25.329597,16.784668,-18.554688,stair_up
1769345418.143242,-0.460571,-0.874756,-0.273193,16.845703,22.705086,-15.136723,stair_up
1769345418.1565964,-0.457397,-0.837402,-0.270996,15.014652,28.442390,-18.737793,stair_up
1769345418.1853814,-0.520874,-0.873291,-0.268677,11.291508,35.217285,-33.630371,stair_up
1769345418.206955,-0.470093,-0.887695,-0.281616,11.779789,43.945313,-35.583496,stair_up
1769345418.2192528,-0.463745,-0.938354,-0.270752,18.920898,45.654312,-27.648933,stair_up
1769345418.243469,-0.430176,-0.986572,-0.265747,12.268070,39.184570,-29.663094,stair_up
1769345418.261397,-0.437866,-0.997070,-0.277100,13.244633,31.494148,-29.663094,stair_up
1769345418.301648,-0.441895,-1.060791,-0.267944,12.329105,24.963387,-29.846199,stair_up
1769345418.3034167,-0.436768,-1.101196,-0.271973,12.146000,15.625004,-26.062019,stair_up
1769345418.3234105,-0.458252,-1.154907,-0.244385,13.244633,9.460449,-24.108894,stair_up
1769345418.346033,-0.460327,-1.197388,-0.196411,13.854984,28.991707,-23.071297,stair_up
1769345418.3967018,-0.348267,-1.220459,-0.243774,8.789063,17.456055,-19.958496,stair_up
1769345418.3967018,-0.250366,-1.206299,-0.251831,4.577637,1.525879,-17.089844,stair_up
1769345418.4063287,-0.208374,-1.214233,-0.274902,-6.713869,-19.714355,-15.441898,stair_up
1769345418.4278772,-0.225708,-1.187866,-0.293945,-13.610844,-41.381836,-11.230473,stair_up
1769345418.4409509,-0.278687,-1.110474,-0.271484,-27.648933,-39.855957,-8.422852,stair_up
1769345418.4631162,-0.227661,-0.995361,-0.284180,-35.461426,-34.301758,-9.399414,stair_up
1769345418.4850128,-0.083496,-0.911255,-0.296143,-36.743164,-45.288101,-7.141115,stair_up
1769345418.5041714,-0.066895,-0.934326,-0.274658,-39.672852,-70.373535,-6.958010,stair_up
1769345418.5251548,-0.229370,-0.945679,-0.260132,-41.687012,-76.232910,-7.629396,stair_up
1769345418.544699,-0.270996,-0.992798,-0.246826,-44.982925,-64.819336,4.028320,stair_up
1769345418.5634875,-0.233521,-0.967285,-0.240234,-46.569839,-65.429688,12.451176,stair_up
1769345418.5763676,-0.183960,-0.969360,-0.227783,-42.175293,-73.852539,25.329597,stair_up
1769345418.603187,-0.228271,-0.905029,-0.219238,-51.269547,-81.848145,33.203125,stair_up
1769345418.623787,-0.276611,-0.825684,-0.253662,-45.349136,-83.618164,38.879395,stair_up
1769345418.6444237,-0.369385,-0.757813,-0.253662,-45.898453,-72.814941,41.015625,stair_up
1769345418.6582487,-0.383301,-0.685303,-0.259277,-40.893555,-58.349625,38.818359,stair_up
1769345418.6844695,-0.405396,-0.657837,-0.249390,-34.179688,-49.560562,36.743164,stair_up
1769345418.7046661,-0.427368,-0.653076,-0.245483,-29.968269,-42.480469,36.621094,stair_up
1769345418.7183332,-0.415527,-0.629639,-0.261108,-27.282722,-40.100098,36.193848,stair_up
1769345418.7436619,-0.474854,-0.609009,-0.253296,-18.737793,-36.926270,34.729004,stair_up
1769345418.7632008,-0.505737,-0.631226,-0.248169,-14.526371,-32.653809,30.273445,stair_up
1769345418.7824275,-0.520630,-0.676147,-0.253052,-10.803223,-29.602058,28.564461,stair_up
1769345418.8030434,-0.573120,-0.677246,-0.242554,-12.084965,-17.944336,23.132332,stair_up
1769345418.8235698,-0.548218,-0.677368,-0.234863,-7.568361,-6.164553,20.507813,stair_up
1769345418.8417017,-0.540771,-0.699951,-0.220215,-3.784181,-3.295899,18.981934,stair_up
1769345418.8643,-0.558350,-0.697632,-0.216309,-0.305176,-1.403809,19.531250,stair_up
1769345418.8815787,-0.523193,-0.673950,-0.236816,12.634281,4.821777,19.775391,stair_up
1769345418.8993154,-0.517700,-0.665527,-0.242676,30.029305,0.732422,27.038582,stair_up
1769345418.923236,-0.526855,-0.842896,-0.236816,17.456055,7.690432,45.410172,stair_up
1769345418.9418623,-0.535522,-0.674316,-0.453369,6.225588,-1.159668,14.221195,stair_up
1769345418.9634802,-0.279053,-0.724243,-0.656616,-2.990724,-5.004883,-10.253906,stair_up
1769345418.9842863,-0.218262,-0.728638,-0.597168,-10.192871,-25.451668,-8.239746,stair_up
